                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.9243,                 2.2103,                 1.1768,                0.96047,                0.67529,                0.65246,                0.62899,                0.28536,                0.59577,                0.53922,                0.51858,                0.18259,                 1.9811,                 2.6659,                 1.3866,                0.98542,              0.0011684,              0.0011684,              0.0011684
                     66,                 1.9117,                 2.1788,                 1.1365,                0.94408,                0.72356,                0.59477,                0.62476,                0.26985,                0.64597,                0.53922,                0.54254,                0.19696,                 2.1014,                 2.6023,                 1.3991,                0.99834,              0.0011552,              0.0011552,              0.0011552
                     67,                 1.8546,                  2.246,                 1.0977,                0.96491,                0.64012,                0.59477,                0.56881,                0.23837,                0.59531,                0.45425,                0.45131,                0.13094,                 2.1399,                 3.2005,                 1.4076,                 1.0122,               0.001142,               0.001142,               0.001142
                     68,                 1.8641,                 2.2426,                 1.1791,                0.93665,                0.67945,                0.57516,                0.58905,                0.26524,                0.61747,                0.46732,                0.48937,                0.17574,                 2.0474,                 2.6403,                 1.4914,                0.98912,              0.0011288,              0.0011288,              0.0011288
                     69,                 1.7915,                 2.1654,                 1.0743,                0.94523,                 0.7336,                0.53922,                0.60295,                0.27726,                0.67098,                0.50654,                0.55565,                0.20638,                 1.9682,                 2.6151,                 1.4295,                  0.986,              0.0011156,              0.0011156,              0.0011156
                     70,                 1.8834,                 2.2707,                 1.1373,                0.93761,                0.66674,                 0.5719,                0.60397,                0.27454,                 0.6084,                0.52288,                0.53058,                0.19035,                   2.04,                 2.6332,                  1.425,                 1.0063,              0.0011024,              0.0011024,              0.0011024
                     71,                 1.8535,                 2.1904,                 1.1068,                0.93792,                0.71911,                0.59477,                 0.6026,                0.26687,                0.65447,                0.52288,                0.49383,                0.18382,                  2.033,                 2.7876,                 1.3762,                0.99906,              0.0010892,              0.0010892,              0.0010892
                     72,                  1.808,                 2.1575,                 1.0851,                0.93576,                0.69972,                0.63072,                0.64182,                0.27151,                0.66915,                0.48249,                0.50919,                0.17486,                  2.045,                 2.8538,                 1.3803,                0.98993,               0.001076,               0.001076,               0.001076
                     73,                 1.8461,                  2.268,                 1.1106,                0.93132,                0.64475,                0.62418,                 0.5992,                0.28491,                0.59862,                0.57843,                0.55024,                0.21456,                 1.9835,                 2.5398,                 1.4795,                 1.0124,              0.0010628,              0.0010628,              0.0010628
                     74,                 1.8576,                 2.1932,                 1.1209,                0.94723,                0.63272,                0.57843,                0.60211,                0.24986,                0.54056,                0.45752,                0.44282,                0.15126,                  2.157,                 2.7278,                  1.504,                 1.0105,              0.0010496,              0.0010496,              0.0010496
                     75,                 1.8013,                 2.1667,                 1.0687,                0.93683,                0.69668,                0.62301,                 0.6356,                0.28618,                0.61967,                0.51307,                0.51223,                0.19233,                 2.0282,                 2.7946,                 1.4152,                 0.9977,              0.0010364,              0.0010364,              0.0010364
                     76,                 1.8245,                 2.2322,                 1.0962,                0.93401,                0.70003,                0.62092,                 0.6129,                0.28932,                 0.6594,                 0.4902,                0.51696,                0.18718,                 2.0112,                 2.7559,                 1.4233,                0.99213,              0.0010232,              0.0010232,              0.0010232
                     77,                 1.8428,                 2.2039,                  1.142,                0.94737,                0.69276,                0.54527,                0.58058,                0.26566,                0.61133,                0.48366,                0.49917,                0.17419,                 2.0913,                 2.8718,                 1.4424,                 1.0053,                0.00101,                0.00101,                0.00101
